Area,Address,Price,Price(USD),Cluster,Parking,Warehouse,Elevator,Room
63.0,Shahran,1850000000.0,61666.67,0,True,True,True,1
60.0,Shahran,1850000000.0,61666.67,0,True,True,True,1
79.0,Pardis,550000000.0,18333.329999999987,0,True,True,True,2
95.0,Shahrake Qods,902500000.0,30083.329999999987,0,True,True,True,2
123.0,Shahrake Gharb,7000000000.0,233333.33,0,True,True,True,2
70.0,North Program Organization,2050000000.0,68333.33,2,True,True,False,2
87.0,Pardis,600000000.0,20000.0,0,True,True,True,2
59.0,Shahran,2150000000.0,71666.67,0,True,True,True,1
54.0,Andisheh,493000000.0,16433.329999999987,2,True,True,False,2
71.0,West Ferdows Boulevard,2370000000.0,79000.0,0,True,True,True,1
68.0,West Ferdows Boulevard,2450000000.0,81666.67,0,True,True,True,2
64.0,Narmak,2100000000.0,70000.0,0,True,True,True,1
54.0,Narmak,1690000000.0,56333.33,3,False,True,True,1
95.0,Zafar,5000000000.0,166666.67,0,True,True,True,2
63.0,Islamshahr,570000000.0,19000.0,1,False,True,False,1
155.0,Narmak,6700000000.0,223333.33,0,True,True,True,3
64.0,Pirouzi,1450000000.0,48333.33,1,False,True,False,2
140.0,West Ferdows Boulevard,6400000000.0,213333.33,0,True,True,True,3
42.0,Pirouzi,1390000000.0,46333.32999999999,1,False,True,False,1
93.0,Shahrake Gharb,7000000000.0,233333.33,0,True,True,True,2
87.0,Shahrake Shahid Bagheri,2500000000.0,83333.33,0,True,True,True,2
65.0,Shahran,1880000000.0,62666.67,0,True,True,True,1
99.0,Moniriyeh,2277000000.0,75900.00000000001,0,True,True,True,2
105.0,Saadat Abad,7150000000.0,238333.33,0,True,True,True,2
77.0,Amirieh,1771000000.0,59033.33,0,True,True,True,2
123.0,Pirouzi,4059000000.0,135300.0,0,True,True,True,2
110.0,Southern Janatabad,630000000.0,21000.0,0,True,True,True,2
100.0,West Ferdows Boulevard,3200000000.0,106666.67,0,True,True,True,2
90.0,Salsabil,1500000000.0,50000.0,1,False,True,False,2
49.0,West Ferdows Boulevard,2200000000.0,73333.33,0,True,True,True,1
96.0,Zargandeh,7872000000.0,262400.0,0,True,True,True,2
67.0,Feiz Garden,2350000000.0,78333.33,2,True,True,False,2
68.0,West Ferdows Boulevard,2500000000.0,83333.33,0,True,True,True,2
62.0,Water Organization,2150000000.0,71666.67,3,True,False,True,1
55.0,West Ferdows Boulevard,2150000000.0,71666.67,0,True,True,True,1
110.0,West Ferdows Boulevard,3750000000.0,125000.0,0,True,True,True,2
129.0,West Ferdows Boulevard,5250000000.0,175000.0,0,True,True,True,2
109.0,West Ferdows Boulevard,4830000000.0,161000.0,0,True,True,True,2
58.0,Saadat Abad,3400000000.0,113333.33,0,True,True,True,1
55.0,Saadat Abad,3850000000.0,128333.33,0,True,True,True,1
150.0,Shahrake Qods,1199999999.9999995,39999.99999999997,3,False,True,True,2
130.0,ShahrAra,5000000000.0,166666.67,2,True,True,False,3
88.0,Gisha,4750000000.0,158333.33,0,True,True,True,2
51.0,Gisha,2980000000.0,99333.33,0,True,True,True,1
113.0,Shahrake Gharb,7000000000.0,233333.33,2,True,True,False,3
110.0,Ray,2035000000.0,67833.33,0,True,True,True,2
60.0,Abbasabad,2460000000.0,82000.0,0,True,True,True,1
98.0,Pardis,540000000.0,18000.0,0,True,True,True,2
62.0,Ostad Moein,1450000000.0,48333.33,5,False,False,True,2
75.0,Parand,635000000.0,21166.670000000013,4,False,False,False,2
61.0,Punak,2030000000.0,67666.67,2,True,True,False,1
61.0,Punak,2030000000.0,67666.67,2,True,True,False,1
72.0,Shahran,2350000000.0,78333.33,0,True,True,True,2
100.0,Qasr-od-Dasht,3000000000.0,100000.0,0,True,True,True,2
122.0,Aqdasieh,7200000000.0,240000.0,0,True,True,True,3
101.0,Railway,3300000000.0,110000.0,0,True,True,True,2
67.0,Punak,2800000000.0,93333.33,0,True,True,True,2
72.0,Punak,2200000000.0,73333.33,2,True,True,False,2
63.0,Punak,2200000000.0,73333.33,2,True,True,False,1
75.0,Punak,2200000000.0,73333.33,2,True,True,False,2
109.0,Shahran,3500000000.0,116666.67,0,True,True,True,2
122.0,Aqdasieh,7000000000.0,233333.33,0,True,True,True,2
